Province,Employee Count,Categories,Year
Prince Edward Island,69315,Industrial aggregate including unclassified businesses,2019
Prince Edward Island,64830,Industrial aggregate including unclassified businesses,2020
Prince Edward Island,69651,Industrial aggregate including unclassified businesses,2021
Prince Edward Island,"74,598",Industrial aggregate including unclassified businesses,2022
Prince Edward Island,"77,055",Industrial aggregate including unclassified businesses,2023
Prince Edward Island,"78,345",Industrial aggregate including unclassified businesses,2024
Quebec,3817655,Industrial aggregate including unclassified businesses,2019
Quebec,3537357,Industrial aggregate including unclassified businesses,2020
Quebec,3763958,Industrial aggregate including unclassified businesses,2021
Quebec,3969327,Industrial aggregate including unclassified businesses,2022
Quebec,4044938,Industrial aggregate including unclassified businesses,2023
Quebec,4073130,Industrial aggregate including unclassified businesses,2024
Saskatchewan,"481,776",Industrial aggregate including unclassified businesses,2019
Saskatchewan,"447,506",Industrial aggregate including unclassified businesses,2020
Saskatchewan,"471,792",Industrial aggregate including unclassified businesses,2021
Saskatchewan,"492,973",Industrial aggregate including unclassified businesses,2022
Saskatchewan,"506,208",Industrial aggregate including unclassified businesses,2023
Saskatchewan,"514,110",Industrial aggregate including unclassified businesses,2024
Yukon,"22,325",Industrial aggregate including unclassified businesses,2019
Yukon,"21,101",Industrial aggregate including unclassified businesses,2020
Yukon,"22,916",Industrial aggregate including unclassified businesses,2021
Yukon,"23,849",Industrial aggregate including unclassified businesses,2022
Yukon,"24,767",Industrial aggregate including unclassified businesses,2023
Yukon,"25,391",Industrial aggregate including unclassified businesses,2024
Alberta,2000849,Industrial aggregate excluding unclassified businesses,2019
Alberta,1795665,Industrial aggregate excluding unclassified businesses,2020
Alberta,1875922,Industrial aggregate excluding unclassified businesses,2021
Alberta,1993846,Industrial aggregate excluding unclassified businesses,2022
Alberta,2069534,Industrial aggregate excluding unclassified businesses,2023
Alberta,2106626,Industrial aggregate excluding unclassified businesses,2024
British Columbia,2282352,Industrial aggregate excluding unclassified businesses,2019
British Columbia,2101140,Industrial aggregate excluding unclassified businesses,2020
British Columbia,2242035,Industrial aggregate excluding unclassified businesses,2021
British Columbia,2396045,Industrial aggregate excluding unclassified businesses,2022
British Columbia,2472454,Industrial aggregate excluding unclassified businesses,2023
British Columbia,2488074,Industrial aggregate excluding unclassified businesses,2024
Manitoba,"611,933",Industrial aggregate excluding unclassified businesses,2019
Manitoba,"566,222",Industrial aggregate excluding unclassified businesses,2020
Manitoba,"589,760",Industrial aggregate excluding unclassified businesses,2021
Manitoba,"612,762",Industrial aggregate excluding unclassified businesses,2022
Manitoba,"627,236",Industrial aggregate excluding unclassified businesses,2023
Manitoba,"630,266",Industrial aggregate excluding unclassified businesses,2024
New Brunswick,320576,Industrial aggregate excluding unclassified businesses,2019
New Brunswick,"305,673",Industrial aggregate excluding unclassified businesses,2020
New Brunswick,"325,324",Industrial aggregate excluding unclassified businesses,2021
New Brunswick,"337,285",Industrial aggregate excluding unclassified businesses,2022
New Brunswick,"346,254",Industrial aggregate excluding unclassified businesses,2023
New Brunswick,"350,456",Industrial aggregate excluding unclassified businesses,2024
Newfoundland and Labrador,"211,229",Industrial aggregate excluding unclassified businesses,2019
Newfoundland and Labrador,"194,077",Industrial aggregate excluding unclassified businesses,2020
Newfoundland and Labrador,"204,950",Industrial aggregate excluding unclassified businesses,2021
Newfoundland and Labrador,"212,134",Industrial aggregate excluding unclassified businesses,2022
Newfoundland and Labrador,"214,288",Industrial aggregate excluding unclassified businesses,2023
Newfoundland and Labrador,"212,463",Industrial aggregate excluding unclassified businesses,2024
Northwest Territories,"26,620",Industrial aggregate excluding unclassified businesses,2019
Northwest Territories,"24,315",Industrial aggregate excluding unclassified businesses,2020
Northwest Territories,"26,214",Industrial aggregate excluding unclassified businesses,2021
Northwest Territories,"26,906",Industrial aggregate excluding unclassified businesses,2022
Northwest Territories,"27,101",Industrial aggregate excluding unclassified businesses,2023
Northwest Territories,"27,237",Industrial aggregate excluding unclassified businesses,2024
Nova Scotia,"415,572",Industrial aggregate excluding unclassified businesses,2019
Nova Scotia,"389,128",Industrial aggregate excluding unclassified businesses,2020
Nova Scotia,"411,554",Industrial aggregate excluding unclassified businesses,2021
Nova Scotia,"429,362",Industrial aggregate excluding unclassified businesses,2022
Nova Scotia,"441,560",Industrial aggregate excluding unclassified businesses,2023
Nova Scotia,"450,120",Industrial aggregate excluding unclassified businesses,2024
Nunavut,"17,600",Industrial aggregate excluding unclassified businesses,2019
Nunavut,"17,965",Industrial aggregate excluding unclassified businesses,2020
Nunavut,"19,165",Industrial aggregate excluding unclassified businesses,2021
Nunavut,"19,987",Industrial aggregate excluding unclassified businesses,2022
Nunavut,"20,460",Industrial aggregate excluding unclassified businesses,2023
Nunavut,"21,353",Industrial aggregate excluding unclassified businesses,2024
Ontario,6496777,Industrial aggregate excluding unclassified businesses,2019
Ontario,5927767,Industrial aggregate excluding unclassified businesses,2020
Ontario,6228617,Industrial aggregate excluding unclassified businesses,2021
Ontario,6662707,Industrial aggregate excluding unclassified businesses,2022
Ontario,6855153,Industrial aggregate excluding unclassified businesses,2023
Ontario,6931697,Industrial aggregate excluding unclassified businesses,2024
Prince Edward Island,67961,Industrial aggregate excluding unclassified businesses,2019
Prince Edward Island,63741,Industrial aggregate excluding unclassified businesses,2020
Prince Edward Island,68388,Industrial aggregate excluding unclassified businesses,2021
Prince Edward Island,"73,203",Industrial aggregate excluding unclassified businesses,2022
Prince Edward Island,"75,672",Industrial aggregate excluding unclassified businesses,2023
Prince Edward Island,"76,792",Industrial aggregate excluding unclassified businesses,2024
Quebec,3760359,Industrial aggregate excluding unclassified businesses,2019
Quebec,3486361,Industrial aggregate excluding unclassified businesses,2020
Quebec,3708205,Industrial aggregate excluding unclassified businesses,2021
Quebec,3904557,Industrial aggregate excluding unclassified businesses,2022
Quebec,3979465,Industrial aggregate excluding unclassified businesses,2023
Quebec,4007625,Industrial aggregate excluding unclassified businesses,2024
Saskatchewan,"475,499",Industrial aggregate excluding unclassified businesses,2019
Saskatchewan,"442,928",Industrial aggregate excluding unclassified businesses,2020
Saskatchewan,"466,785",Industrial aggregate excluding unclassified businesses,2021
Saskatchewan,"487,408",Industrial aggregate excluding unclassified businesses,2022
Saskatchewan,"500,294",Industrial aggregate excluding unclassified businesses,2023
Saskatchewan,"507,468",Industrial aggregate excluding unclassified businesses,2024
Yukon,"21,937",Industrial aggregate excluding unclassified businesses,2019
Yukon,"20,788",Industrial aggregate excluding unclassified businesses,2020
Yukon,"22,522",Industrial aggregate excluding unclassified businesses,2021
Yukon,"23,247",Industrial aggregate excluding unclassified businesses,2022
Yukon,"24,156",Industrial aggregate excluding unclassified businesses,2023
Yukon,"24,870",Industrial aggregate excluding unclassified businesses,2024
Alberta,416652,Goods producing industries,2019
Alberta,372459,Goods producing industries,2020
Alberta,388861,Goods producing industries,2021
Alberta,417131,Goods producing industries,2022
Alberta,430778,Goods producing industries,2023
Alberta,441440,Goods producing industries,2024
British Columbia,371129,Goods producing industries,2019
British Columbia,348524,Goods producing industries,2020
British Columbia,376159,Goods producing industries,2021
British Columbia,389293,Goods producing industries,2022
British Columbia,392144,Goods producing industries,2023
British Columbia,390349,Goods producing industries,2024
Manitoba,"101,835",Goods producing industries,2019
Manitoba,"94,924",Goods producing industries,2020
Manitoba,"98,841",Goods producing industries,2021
Manitoba,"102,837",Goods producing industries,2022
Manitoba,"104,613",Goods producing industries,2023
Manitoba,"105,835",Goods producing industries,2024
New Brunswick,57438,Goods producing industries,2019
New Brunswick,"53,379",Goods producing industries,2020
New Brunswick,"56,434",Goods producing industries,2021
New Brunswick,"58,384",Goods producing industries,2022
New Brunswick,"59,432",Goods producing industries,2023
New Brunswick,"61,761",Goods producing industries,2024
Newfoundland and Labrador,"35,553",Goods producing industries,2019
Newfoundland and Labrador,"30,980",Goods producing industries,2020
Newfoundland and Labrador,"32,898",Goods producing industries,2021
Newfoundland and Labrador,"34,358",Goods producing industries,2022
Newfoundland and Labrador,"34,772",Goods producing industries,2023
Newfoundland and Labrador,"34,251",Goods producing industries,2024
Northwest Territories,"4,640",Goods producing industries,2019
Northwest Territories,"3,887",Goods producing industries,2020
Northwest Territories,"4,626",Goods producing industries,2021
Northwest Territories,"4,998",Goods producing industries,2022
Northwest Territories,"4,787",Goods producing industries,2023
Northwest Territories,"4,933",Goods producing industries,2024
Nova Scotia,"61,791",Goods producing industries,2019
Nova Scotia,"57,396",Goods producing industries,2020
Nova Scotia,"60,538",Goods producing industries,2021
Nova Scotia,"62,916",Goods producing industries,2022
Nova Scotia,"65,175",Goods producing industries,2023
Nova Scotia,"67,335",Goods producing industries,2024
Nunavut,"3,260",Goods producing industries,2019
Nunavut,"3,770",Goods producing industries,2020
Nunavut,"4,089",Goods producing industries,2021
Nunavut,"4,687",Goods producing industries,2022
Nunavut,"4,592",Goods producing industries,2023
Nunavut,"5,059",Goods producing industries,2024
Ontario,1132181,Goods producing industries,2019
Ontario,1047144,Goods producing industries,2020
Ontario,1108571,Goods producing industries,2021
Ontario,1154867,Goods producing industries,2022
Ontario,1178578,Goods producing industries,2023
Ontario,1173064,Goods producing industries,2024
Prince Edward Island,10081,Goods producing industries,2019
Prince Edward Island,9667,Goods producing industries,2020
Prince Edward Island,10388,Goods producing industries,2021
Prince Edward Island,"11,074",Goods producing industries,2022
Prince Edward Island,"11,893",Goods producing industries,2023
Prince Edward Island,"12,452",Goods producing industries,2024
Quebec,714203,Goods producing industries,2019
Quebec,668919,Goods producing industries,2020
Quebec,715533,Goods producing industries,2021
Quebec,741102,Goods producing industries,2022
Quebec,742886,Goods producing industries,2023
Quebec,744262,Goods producing industries,2024
Saskatchewan,"77,109",Goods producing industries,2019
Saskatchewan,"71,397",Goods producing industries,2020
Saskatchewan,"74,717",Goods producing industries,2021
Saskatchewan,"79,023",Goods producing industries,2022
Saskatchewan,"82,336",Goods producing industries,2023
Saskatchewan,"83,166",Goods producing industries,2024
Yukon,"2,383",Goods producing industries,2019
Yukon,"2,671",Goods producing industries,2020
Yukon,"3,199",Goods producing industries,2021
Yukon,"3,382",Goods producing industries,2022
Yukon,"3,356",Goods producing industries,2023
Yukon,"3,099",Goods producing industries,2024
Alberta,3861,"Forestry, logging and support",2019
Alberta,3553,"Forestry, logging and support",2020
Alberta,3615,"Forestry, logging and support",2021
Alberta,3855,"Forestry, logging and support",2022
Alberta,3818,"Forestry, logging and support",2023
Alberta,3840,"Forestry, logging and support",2024
British Columbia,16653,"Forestry, logging and support",2019
British Columbia,15394,"Forestry, logging and support",2020
British Columbia,17259,"Forestry, logging and support",2021
British Columbia,17194,"Forestry, logging and support",2022
British Columbia,15816,"Forestry, logging and support",2023
British Columbia,15335,"Forestry, logging and support",2024
Manitoba,x,"Forestry, logging and support",2019
Manitoba,x,"Forestry, logging and support",2020
Manitoba,x,"Forestry, logging and support",2021
Manitoba,x,"Forestry, logging and support",2022
Manitoba,x,"Forestry, logging and support",2023
Manitoba,x,"Forestry, logging and support",2024
New Brunswick,2532,"Forestry, logging and support",2019
New Brunswick,"2,494","Forestry, logging and support",2020
New Brunswick,"2,269","Forestry, logging and support",2021
New Brunswick,"2,130","Forestry, logging and support",2022
New Brunswick,"2,172","Forestry, logging and support",2023
New Brunswick,"2,099","Forestry, logging and support",2024
Newfoundland and Labrador,x,"Forestry, logging and support",2019
Newfoundland and Labrador,x,"Forestry, logging and support",2020
Newfoundland and Labrador,x,"Forestry, logging and support",2021
Newfoundland and Labrador,x,"Forestry, logging and support",2022
Newfoundland and Labrador,x,"Forestry, logging and support",2023
Newfoundland and Labrador,x,"Forestry, logging and support",2024
Northwest Territories,x,"Forestry, logging and support",2019
Northwest Territories,x,"Forestry, logging and support",2020
Northwest Territories,x,"Forestry, logging and support",2021
Northwest Territories,x,"Forestry, logging and support",2022
Northwest Territories,x,"Forestry, logging and support",2023
Northwest Territories,x,"Forestry, logging and support",2024
Nova Scotia,864,"Forestry, logging and support",2019
Nova Scotia,785,"Forestry, logging and support",2020
Nova Scotia,838,"Forestry, logging and support",2021
Nova Scotia,735,"Forestry, logging and support",2022
Nova Scotia,817,"Forestry, logging and support",2023
Nova Scotia,799,"Forestry, logging and support",2024
Nunavut,x,"Forestry, logging and support",2019
Nunavut,x,"Forestry, logging and support",2020
Nunavut,x,"Forestry, logging and support",2021
Nunavut,x,"Forestry, logging and support",2022
Nunavut,x,"Forestry, logging and support",2023
Nunavut,x,"Forestry, logging and support",2024
Ontario,4163,"Forestry, logging and support",2019
Ontario,3708,"Forestry, logging and support",2020
Ontario,3832,"Forestry, logging and support",2021
Ontario,3677,"Forestry, logging and support",2022
Ontario,3867,"Forestry, logging and support",2023
Ontario,4489,"Forestry, logging and support",2024
Prince Edward Island,61,"Forestry, logging and support",2019
Prince Edward Island,59,"Forestry, logging and support",2020
Prince Edward Island,54,"Forestry, logging and support",2021
Prince Edward Island,54,"Forestry, logging and support",2022
Prince Edward Island,53,"Forestry, logging and support",2023
Prince Edward Island,x,"Forestry, logging and support",2024
Quebec,9275,"Forestry, logging and support",2019
Quebec,8656,"Forestry, logging and support",2020
Quebec,9164,"Forestry, logging and support",2021
Quebec,9238,"Forestry, logging and support",2022
Quebec,9464,"Forestry, logging and support",2023
Quebec,9701,"Forestry, logging and support",2024
Saskatchewan,x,"Forestry, logging and support",2019
Saskatchewan,x,"Forestry, logging and support",2020
Saskatchewan,x,"Forestry, logging and support",2021
Saskatchewan,x,"Forestry, logging and support",2022
Saskatchewan,x,"Forestry, logging and support",2023
Saskatchewan,x,"Forestry, logging and support",2024
Yukon,x,"Forestry, logging and support",2019
Yukon,x,"Forestry, logging and support",2020
Yukon,x,"Forestry, logging and support",2021
Yukon,x,"Forestry, logging and support",2022
Yukon,x,"Forestry, logging and support",2023
Yukon,x,"Forestry, logging and support",2024
Alberta,100311,"Mining, quarrying, and oil and gas extraction",2019
Alberta,88790,"Mining, quarrying, and oil and gas extraction",2020
Alberta,88528,"Mining, quarrying, and oil and gas extraction",2021
Alberta,97402,"Mining, quarrying, and oil and gas extraction",2022
Alberta,100683,"Mining, quarrying, and oil and gas extraction",2023
Alberta,99691,"Mining, quarrying, and oil and gas extraction",2024
British Columbia,20333,"Mining, quarrying, and oil and gas extraction",2019
British Columbia,18684,"Mining, quarrying, and oil and gas extraction",2020
British Columbia,21298,"Mining, quarrying, and oil and gas extraction",2021
British Columbia,23130,"Mining, quarrying, and oil and gas extraction",2022
British Columbia,25036,"Mining, quarrying, and oil and gas extraction",2023
British Columbia,25549,"Mining, quarrying, and oil and gas extraction",2024
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2019
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2020
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2021
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2022
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2023
Manitoba,x,"Mining, quarrying, and oil and gas extraction",2024
New Brunswick,936,"Mining, quarrying, and oil and gas extraction",2019
New Brunswick,x,"Mining, quarrying, and oil and gas extraction",2020
New Brunswick,x,"Mining, quarrying, and oil and gas extraction",2021
New Brunswick,x,"Mining, quarrying, and oil and gas extraction",2022
New Brunswick,x,"Mining, quarrying, and oil and gas extraction",2023
New Brunswick,x,"Mining, quarrying, and oil and gas extraction",2024
Newfoundland and Labrador,"5,833","Mining, quarrying, and oil and gas extraction",2019
Newfoundland and Labrador,"5,788","Mining, quarrying, and oil and gas extraction",2020
Newfoundland and Labrador,"5,398","Mining, quarrying, and oil and gas extraction",2021
Newfoundland and Labrador,"5,472","Mining, quarrying, and oil and gas extraction",2022
Newfoundland and Labrador,"5,395","Mining, quarrying, and oil and gas extraction",2023
Newfoundland and Labrador,"5,595","Mining, quarrying, and oil and gas extraction",2024
Northwest Territories,"2,473","Mining, quarrying, and oil and gas extraction",2019
Northwest Territories,"2,013","Mining, quarrying, and oil and gas extraction",2020
Northwest Territories,"2,372","Mining, quarrying, and oil and gas extraction",2021
Northwest Territories,"2,266","Mining, quarrying, and oil and gas extraction",2022
Northwest Territories,"2,179","Mining, quarrying, and oil and gas extraction",2023
Northwest Territories,"2,457","Mining, quarrying, and oil and gas extraction",2024
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2019
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2020
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2021
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2022
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2023
Nova Scotia,x,"Mining, quarrying, and oil and gas extraction",2024
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2019
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2020
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2021
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2022
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2023
Nunavut,x,"Mining, quarrying, and oil and gas extraction",2024
Ontario,26263,"Mining, quarrying, and oil and gas extraction",2019
Ontario,26468,"Mining, quarrying, and oil and gas extraction",2020
Ontario,27550,"Mining, quarrying, and oil and gas extraction",2021
Ontario,29288,"Mining, quarrying, and oil and gas extraction",2022
Ontario,30456,"Mining, quarrying, and oil and gas extraction",2023
Ontario,29552,"Mining, quarrying, and oil and gas extraction",2024
Prince Edward Island,27,"Mining, quarrying, and oil and gas extraction",2019
Prince Edward Island,23,"Mining, quarrying, and oil and gas extraction",2020
Prince Edward Island,25,"Mining, quarrying, and oil and gas extraction",2021
Prince Edward Island,26,"Mining, quarrying, and oil and gas extraction",2022
Prince Edward Island,21,"Mining, quarrying, and oil and gas extraction",2023
Prince Edward Island,x,"Mining, quarrying, and oil and gas extraction",2024
Quebec,19613,"Mining, quarrying, and oil and gas extraction",2019
Quebec,19340,"Mining, quarrying, and oil and gas extraction",2020
Quebec,20611,"Mining, quarrying, and oil and gas extraction",2021
Quebec,21028,"Mining, quarrying, and oil and gas extraction",2022
Quebec,20362,"Mining, quarrying, and oil and gas extraction",2023
Quebec,20779,"Mining, quarrying, and oil and gas extraction",2024
Saskatchewan,"18,277","Mining, quarrying, and oil and gas extraction",2019
Saskatchewan,"17,150","Mining, quarrying, and oil and gas extraction",2020
Saskatchewan,"16,554","Mining, quarrying, and oil and gas extraction",2021
Saskatchewan,"17,896","Mining, quarrying, and oil and gas extraction",2022
Saskatchewan,"19,199","Mining, quarrying, and oil and gas extraction",2023
Saskatchewan,"19,705","Mining, quarrying, and oil and gas extraction",2024
Yukon,x,"Mining, quarrying, and oil and gas extraction",2019
Yukon,x,"Mining, quarrying, and oil and gas extraction",2020
Yukon,x,"Mining, quarrying, and oil and gas extraction",2021
Yukon,x,"Mining, quarrying, and oil and gas extraction",2022
Yukon,x,"Mining, quarrying, and oil and gas extraction",2023
Yukon,x,"Mining, quarrying, and oil and gas extraction",2024
Alberta,13832,"Utilities",2019
Alberta,14292,"Utilities",2020
Alberta,14964,"Utilities",2021
Alberta,16550,"Utilities",2022
Alberta,17696,"Utilities",2023
Alberta,18159,"Utilities",2024
British Columbia,12077,"Utilities",2019
British Columbia,12182,"Utilities",2020
British Columbia,12125,"Utilities",2021
British Columbia,12124,"Utilities",2022
British Columbia,12156,"Utilities",2023
British Columbia,11846,"Utilities",2024
Manitoba,x,"Utilities",2019
Manitoba,x,"Utilities",2020
Manitoba,x,"Utilities",2021
Manitoba,x,"Utilities",2022
Manitoba,x,"Utilities",2023
Manitoba,x,"Utilities",2024
New Brunswick,3043,"Utilities",2019
New Brunswick,x,"Utilities",2020
New Brunswick,x,"Utilities",2021
New Brunswick,x,"Utilities",2022
New Brunswick,x,"Utilities",2023
New Brunswick,x,"Utilities",2024
Newfoundland and Labrador,x,"Utilities",2019
Newfoundland and Labrador,x,"Utilities",2020
Newfoundland and Labrador,x,"Utilities",2021
Newfoundland and Labrador,x,"Utilities",2022
Newfoundland and Labrador,x,"Utilities",2023
Newfoundland and Labrador,x,"Utilities",2024
Northwest Territories,x,"Utilities",2019
Northwest Territories,x,"Utilities",2020
Northwest Territories,x,"Utilities",2021
Northwest Territories,x,"Utilities",2022
Northwest Territories,x,"Utilities",2023
Northwest Territories,x,"Utilities",2024
Nova Scotia,x,"Utilities",2019
Nova Scotia,x,"Utilities",2020
Nova Scotia,x,"Utilities",2021
Nova Scotia,x,"Utilities",2022
Nova Scotia,x,"Utilities",2023
Nova Scotia,x,"Utilities",2024
Nunavut,x,"Utilities",2019
Nunavut,x,"Utilities",2020
Nunavut,x,"Utilities",2021
Nunavut,x,"Utilities",2022
Nunavut,x,"Utilities",2023
Nunavut,x,"Utilities",2024
Ontario,52576,"Utilities",2019
Ontario,50012,"Utilities",2020
Ontario,49815,"Utilities",2021
Ontario,51084,"Utilities",2022
Ontario,52083,"Utilities",2023
Ontario,51813,"Utilities",2024
Prince Edward Island,495,"Utilities",2019
Prince Edward Island,430,"Utilities",2020
Prince Edward Island,418,"Utilities",2021
Prince Edward Island,438,"Utilities",2022
Prince Edward Island,425,"Utilities",2023
Prince Edward Island,x,"Utilities",2024
Quebec,28776,"Utilities",2019
Quebec,27554,"Utilities",2020
Quebec,28021,"Utilities",2021
Quebec,28700,"Utilities",2022
Quebec,30520,"Utilities",2023
Quebec,31211,"Utilities",2024
Saskatchewan,x,"Utilities",2019
Saskatchewan,x,"Utilities",2020
Saskatchewan,x,"Utilities",2021
Saskatchewan,x,"Utilities",2022
Saskatchewan,x,"Utilities",2023
Saskatchewan,x,"Utilities",2024
Yukon,x,"Utilities",2019
Yukon,x,"Utilities",2020
Yukon,x,"Utilities",2021
Yukon,x,"Utilities",2022
Yukon,x,"Utilities",2023
Yukon,x,"Utilities",2024
Alberta,173879,Construction,2019
Alberta,153174,Construction,2020
Alberta,165724,Construction,2021
Alberta,178555,Construction,2022
Alberta,185149,Construction,2023
Alberta,192617,Construction,2024
British Columbia,166426,Construction,2019
British Columbia,158360,Construction,2020
British Columbia,173121,Construction,2021
British Columbia,183201,Construction,2022
British Columbia,189427,Construction,2023
British Columbia,190208,Construction,2024
Manitoba,"35,394",Construction,2019
Manitoba,"32,689",Construction,2020
Manitoba,"34,914",Construction,2021
Manitoba,"36,116",Construction,2022
Manitoba,"37,410",Construction,2023
Manitoba,"38,116",Construction,2024
New Brunswick,19480,Construction,2019
New Brunswick,"17,535",Construction,2020
New Brunswick,"19,365",Construction,2021
New Brunswick,"20,836",Construction,2022
New Brunswick,"21,804",Construction,2023
New Brunswick,"23,012",Construction,2024
Newfoundland and Labrador,"16,798",Construction,2019
Newfoundland and Labrador,"13,402",Construction,2020
Newfoundland and Labrador,"14,518",Construction,2021
Newfoundland and Labrador,"14,852",Construction,2022
Newfoundland and Labrador,"15,907",Construction,2023
Newfoundland and Labrador,"14,925",Construction,2024
Northwest Territories,"1,765",Construction,2019
Northwest Territories,"1,491",Construction,2020
Northwest Territories,"1,882",Construction,2021
Northwest Territories,"2,334",Construction,2022
Northwest Territories,"2,214",Construction,2023
Northwest Territories,"2,087",Construction,2024
Nova Scotia,"25,076",Construction,2019
Nova Scotia,"22,654",Construction,2020
Nova Scotia,"24,420",Construction,2021
Nova Scotia,"26,077",Construction,2022
Nova Scotia,"27,656",Construction,2023
Nova Scotia,"29,571",Construction,2024
Nunavut,969,Construction,2019
Nunavut,860,Construction,2020
Nunavut,874,Construction,2021
Nunavut,807,Construction,2022
Nunavut,871,Construction,2023
Nunavut,789,Construction,2024
Ontario,360984,Construction,2019
Ontario,335942,Construction,2020
Ontario,370686,Construction,2021
Ontario,393824,Construction,2022
Ontario,407121,Construction,2023
Ontario,406664,Construction,2024
Prince Edward Island,4125,Construction,2019
Prince Edward Island,4046,Construction,2020
Prince Edward Island,4287,Construction,2021
Prince Edward Island,"4,644",Construction,2022
Prince Edward Island,"5,034",Construction,2023
Prince Edward Island,"5,369",Construction,2024
Quebec,206667,Construction,2019
Quebec,195981,Construction,2020
Quebec,221203,Construction,2021
Quebec,237250,Construction,2022
Quebec,241243,Construction,2023
Quebec,243576,Construction,2024
Saskatchewan,"28,351",Construction,2019
Saskatchewan,"25,584",Construction,2020
Saskatchewan,"28,556",Construction,2021
Saskatchewan,"30,336",Construction,2022
Saskatchewan,"30,970",Construction,2023
Saskatchewan,"30,519",Construction,2024
Yukon,"1,333",Construction,2019
Yukon,"1,370",Construction,2020
Yukon,"1,529",Construction,2021
