,Job vacancies 5,"34,045","28,790","35,735","42,190","43,100","42,915","40,860","40,765","40,835","41,455","31,285","25,520","34,585","34,305","36,055",..,..,..,..,..,..,"46,985","42,100","29,565","40,500","39,315","59,220","62,745","58,615","67,325","69,590","73,845","81,725","76,535","70,760","59,305","70,330","65,625","77,905","94,535","87,505","87,565","84,825","86,085","93,365","70,260","77,145","61,160","62,965","59,250","69,500","65,210","74,760","65,010","65,095","70,575","60,320","59,695","57,660","41,280","44,730","50,260","44,780","52,145","49,365","47,230","49,250","43,230","45,150","39,970","39,155","30,215"
,Payroll employees 6 7,"1,030,115","935,685","945,280","955,715","974,860","1,045,175","1,093,280","1,097,645","1,109,985","1,122,050","1,108,895","1,086,275","1,042,460","946,290","962,720",..,..,..,..,..,..,"1,067,280","1,070,565","1,048,320","1,009,130","938,570","945,025","970,530","1,014,855","1,064,670","1,107,600","1,104,260","1,127,370","1,143,845","1,138,335","1,120,335","1,082,740","1,005,490","1,031,575","1,045,050","1,078,415","1,129,595","1,178,960","1,190,090","1,181,990","1,208,830","1,194,870","1,181,675","1,148,105","1,048,430","1,075,540","1,080,560","1,109,580","1,178,710","1,225,865","1,231,435","1,227,350","1,242,760","1,225,240","1,208,500","1,161,305","1,061,920","1,091,345","1,100,270","1,127,465","1,195,090","1,233,725","1,232,380","1,233,630","1,249,825","1,238,250","1,219,010"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,3.2,3,3.6,4.2,4.2,3.9,3.6,3.6,3.5,3.6,2.7,2.3,3.2,3.5,3.6,..,..,..,..,..,..,4.2,3.8,2.7,3.9,4,5.9,6.1,5.5,5.9,5.9,6.3,6.8,6.3,5.9,5,6.1,6.1,7,8.3,7.5,7.2,6.7,6.7,7.3,5.5,6.1,4.9,5.2,5.3,6.1,5.7,6.3,5.2,5,5.4,4.7,4.6,4.5,3.3,3.7,4.5,3.9,4.5,4.2,3.8,3.8,3.4,3.5,3.1,3.1,2.4
Manufacturing  [31-33],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"44,505","46,530","50,935","55,780","47,695","49,375","47,620","47,365","53,730","48,900","39,810","37,980","42,330","42,375","40,170",..,..,..,..,..,..,"51,495","46,955","41,115","52,780","49,460","54,975","69,160","62,380","65,995","79,975","81,900","81,675","91,930","81,625","72,475","84,690","79,915","84,395","92,275","86,875","82,780","83,530","87,260","75,820","79,970","69,770","60,520","65,715","57,545","59,035","61,260","59,145","56,500","55,040","52,265","47,915","45,965","42,630","32,150","37,625","38,720","40,610","41,475","40,560","38,750","33,845","36,810","36,885","33,870","34,525","29,220"
,Payroll employees 6 7,"1,574,800","1,544,755","1,558,365","1,550,510","1,569,845","1,601,965","1,612,870","1,617,635","1,611,520","1,595,240","1,581,705","1,575,440","1,565,870","1,537,020","1,539,680",..,..,..,..,..,..,"1,486,950","1,491,165","1,478,165","1,488,660","1,454,720","1,463,220","1,473,090","1,493,010","1,508,455","1,534,670","1,561,710","1,541,145","1,538,655","1,538,850","1,530,455","1,540,890","1,504,800","1,522,410","1,522,880","1,547,940","1,560,850","1,584,965","1,593,245","1,572,345","1,576,715","1,569,100","1,557,650","1,567,890","1,525,710","1,528,670","1,533,505","1,548,595","1,572,250","1,603,815","1,602,565","1,586,800","1,582,025","1,568,335","1,564,700","1,563,140","1,534,950","1,533,185","1,532,905","1,551,455","1,577,735","1,585,160","1,592,800","1,579,490","1,570,495","1,568,480","1,557,955"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.7,2.9,3.2,3.5,2.9,3,2.9,2.8,3.2,3,2.5,2.4,2.6,2.7,2.5,..,..,..,..,..,..,3.3,3.1,2.7,3.4,3.3,3.6,4.5,4,4.2,5,5,5,5.6,5,4.5,5.2,5,5.3,5.7,5.3,5,5,5.2,4.6,4.8,4.3,3.7,4,3.6,3.7,3.8,3.7,3.5,3.3,3.2,2.9,2.8,2.6,2,2.4,2.5,2.6,2.6,2.5,2.4,2.1,2.3,2.3,2.1,2.2,1.8
Wholesale trade  [41],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"23,025","22,705","20,875","27,350","23,520","24,335","24,370","26,110","24,440","22,725","23,185","19,390","21,635","23,555","19,950",..,..,..,..,..,..,"19,850","21,030","19,960","21,525","22,915","25,005","29,460","29,630","34,990","27,735","30,205","38,755","34,685","32,885","30,370","32,695","39,285","35,470","39,605","38,980","37,350","35,805","33,630","37,685","32,880","33,430","26,170","27,815","28,775","29,020","31,005","32,010","26,505","28,810","28,760","26,790","25,095","24,685","21,725","20,085","23,330","24,015","23,530","22,935","21,645","19,840","23,265","21,425","20,165","21,660","18,660"
,Payroll employees 6 7,"823,085","811,225","815,000","811,085","812,350","826,545","829,735","831,700","830,535","824,195","821,755","826,345","831,675","816,140","813,800",..,..,..,..,..,..,"775,730","779,050","779,820","789,790","772,720","774,840","776,225","784,115","789,215","793,690","797,715","796,590","795,250","799,305","798,895","810,180","799,100","799,555","796,995","803,975","813,655","821,845","824,420","819,245","819,815","819,855","819,920","822,410","814,560","809,845","810,810","816,785","827,360","830,425","833,315","828,295","829,310","828,490","822,130","828,040","818,970","813,515","813,570","815,230","827,520","826,780","828,095","831,325","828,610","824,780","825,855"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.7,2.7,2.5,3.3,2.8,2.9,2.9,3,2.9,2.7,2.7,2.3,2.5,2.8,2.4,..,..,..,..,..,..,2.5,2.6,2.5,2.7,2.9,3.1,3.7,3.6,4.2,3.4,3.6,4.6,4.2,4,3.7,3.9,4.7,4.2,4.7,4.6,4.4,4.2,3.9,4.4,3.9,3.9,3.1,3.3,3.4,3.5,3.7,3.8,3.1,3.4,3.3,3.1,2.9,2.9,2.6,2.4,2.8,2.9,2.8,2.7,2.5,2.3,2.7,2.5,2.4,2.6,2.2
Retail trade  [44-45],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"44,470","40,930","55,060","66,645","60,685","64,810","66,605","64,985","85,915","82,775","65,670","49,970","49,750","49,290","54,045",..,..,..,..,..,..,"115,350","78,960","52,075","44,160","48,880","77,805","76,425","89,050","94,500","92,640","106,200","120,380","123,860","112,580","101,415","80,275","79,295","105,410","108,755","112,975","112,495","109,340","119,560","116,120","120,440","107,805","88,405","71,715","65,650","88,030","83,165","81,655","89,880","72,755","80,890","79,390","82,070","80,750","47,915","44,645","47,620","58,555","50,450","58,170","60,680","52,510","57,380","60,245","56,485","55,365","43,570"
,Payroll employees 6 7,"2,062,100","1,996,290","1,963,015","1,966,980","1,969,110","1,996,970","2,019,120","2,010,185","1,999,370","1,999,015","2,004,485","2,025,440","2,063,345","2,001,635","1,952,015",..,..,..,..,..,..,"1,890,965","1,930,475","1,960,880","1,993,050","1,849,030","1,820,840","1,906,290","1,937,140","1,896,890","1,948,210","1,994,090","1,979,350","1,983,530","1,996,980","2,022,140","2,051,940","1,999,125","1,952,205","1,973,580","1,992,375","2,004,540","2,040,155","2,040,235","2,009,370","2,037,040","2,034,600","2,034,180","2,072,250","2,025,790","1,978,555","1,988,910","2,003,905","2,011,145","2,047,965","2,039,975","2,019,865","2,029,205","2,031,940","2,041,345","2,056,615","2,013,010","1,961,645","1,966,475","1,983,725","2,003,250","2,016,165","2,015,645","1,994,775","1,989,885","2,013,140","2,001,090"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.1,2,2.7,3.3,3,3.1,3.2,3.1,4.1,4,3.2,2.4,2.4,2.4,2.7,..,..,..,..,..,..,5.7,3.9,2.6,2.2,2.6,4.1,3.9,4.4,4.7,4.5,5.1,5.7,5.9,5.3,4.8,3.8,3.8,5.1,5.2,5.4,5.3,5.1,5.5,5.5,5.6,5,4.2,3.3,3.1,4.3,4,3.9,4.3,3.4,3.8,3.8,3.9,3.8,2.3,2.1,2.3,2.9,2.5,2.8,2.9,2.5,2.8,2.9,2.8,2.7,2.1
Transportation and warehousing  [48-49],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"35,565","26,315","31,010","36,915","30,770","30,740","31,855","30,770","27,450","32,875","28,285","22,240","32,880","25,725","19,960",..,..,..,..,..,..,"31,155","35,635","19,975","28,560","27,470","25,270","33,390","33,110","33,045","38,230","46,195","38,890","46,730","48,810","37,560","48,455","43,375","41,940","55,655","52,995","43,030","58,420","51,320","39,825","49,840","50,870","29,675","47,280","44,505","35,050","41,985","45,285","36,155","37,185","42,290","31,830","38,150","42,530","31,390","29,090","38,585","31,650","31,745","34,005","31,070","28,730","30,755","25,785","31,405","31,860","23,550"
,Payroll employees 6 7,"790,510","773,075","765,925","767,520","766,415","774,850","791,075","776,190","771,700","796,715","805,360","800,215","814,280","800,245","780,485",..,..,..,..,..,..,"750,345","772,465","764,645","784,970","763,330","757,195","755,435","759,185","754,120","773,835","763,790","750,085","770,545","780,655","779,500","801,235","786,675","784,535","783,965","799,850","793,605","817,685","802,595","793,945","819,230","825,295","826,010","841,930","837,880","833,040","826,085","835,400","835,825","846,565","835,850","825,225","847,360","845,210","843,315","856,845","842,285","836,205","834,200","837,355","842,520","862,210","842,795","834,000","857,105","851,765","815,620"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,4.3,3.3,3.9,4.6,3.9,3.8,3.9,3.8,3.4,4,3.4,2.7,3.9,3.1,2.5,..,..,..,..,..,..,4,4.4,2.5,3.5,3.5,3.2,4.2,4.2,4.2,4.7,5.7,4.9,5.7,5.9,4.6,5.7,5.2,5.1,6.6,6.2,5.1,6.7,6,4.8,5.7,5.8,3.5,5.3,5,4,4.8,5.1,4.1,4.2,4.8,3.7,4.3,4.8,3.6,3.3,4.4,3.6,3.7,3.9,3.6,3.2,3.5,3,3.5,3.6,2.8
Information and cultural industries  [51],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"11,530","12,940","13,935","12,250","14,040","13,110","12,520","15,650","12,510","15,125","15,145","11,365","11,520","13,865","14,190",..,..,..,..,..,..,"9,010","10,950","10,575","8,905","11,250","12,335","11,870","14,140","15,305","15,180","23,095","19,890","15,830","19,915","18,645","14,635","19,810","19,445","18,740","18,900","20,005","19,480","20,080","16,625","17,810","13,155","11,760","14,435","11,725","11,415","10,770","11,905","11,360","10,260","6,245","8,925","10,250","4,500","8,220","8,725","5,945","7,625","8,210","5,990","7,470","8,155","6,290","8,855","8,785","5,330","8,090"
,Payroll employees 6 7,"351,815","351,880","349,580","348,805","351,835","355,610","358,470","360,830","360,820","358,970","357,150","356,205","359,010","355,730","354,465",..,..,..,..,..,..,"341,290","347,315","343,770","343,990","341,040","341,310","343,050","347,130","348,855","350,990","360,805","361,745","362,405","369,530","370,425","372,770","365,220","367,485","366,700","379,460","378,865","384,115","389,755","390,770","389,965","391,110","389,070","384,325","371,890","368,585","367,225","370,190","369,685","369,225","369,400","362,100","358,830","360,515","357,460","356,100","359,500","354,865","356,575","359,380","358,980","359,855","363,295","360,695","359,645","361,345","360,480"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,3.2,3.5,3.8,3.4,3.8,3.6,3.4,4.2,3.4,4,4.1,3.1,3.1,3.8,3.8,..,..,..,..,..,..,2.6,3.1,3,2.5,3.2,3.5,3.3,3.9,4.2,4.1,6,5.2,4.2,5.1,4.8,3.8,5.1,5,4.9,4.7,5,4.8,4.9,4.1,4.4,3.3,2.9,3.6,3.1,3,2.8,3.1,3,2.7,1.7,2.4,2.8,1.2,2.2,2.4,1.6,2.1,2.3,1.6,2,2.2,1.7,2.4,2.4,1.5,2.2
Finance and insurance  [52],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"16,315","18,215","31,710","17,665","21,405","28,635","18,550","16,805","31,190","23,260","19,500","20,970","23,945","20,055","22,635",..,..,..,..,..,..,"24,275","17,785","24,370","26,770","19,405","25,650","27,460","19,125","32,045","44,710","29,075","37,945","36,295","21,470","38,440","39,420",F,"39,470","47,215","37,320","41,560","43,460","33,270","39,975","42,640","33,185","30,560","33,220","29,495","24,155","30,940","27,305","21,410","24,650","23,535","16,545","25,030","20,000","18,605","25,195","22,265","18,795","17,090","23,095","17,075","18,195","24,285","17,595","17,385","22,190","17,455"
,Payroll employees 6 7,"750,840","737,775","734,980","739,825","745,195","745,895","750,700","756,975","754,730","752,875","750,915","753,665","764,480","753,045","747,485",..,..,..,..,..,..,"730,955","733,240","736,745","748,345","737,330","742,510","750,805","753,700","754,375","768,445","772,930","761,365","773,330","773,575","770,730","786,155","783,330","778,450","790,010","798,565","796,410","810,015","816,530","812,895","813,055","816,010","824,700","842,540","834,475","829,955","833,785","830,675","833,000","838,110","836,280","835,640","838,360","835,635","833,340","846,170","842,225","842,590","847,080","841,870","845,910","854,615","853,245","850,005","847,430","846,775","848,320"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.1,2.4,4.1,2.3,2.8,3.7,2.4,2.2,4,3,2.5,2.7,3,2.6,2.9,..,..,..,..,..,..,3.2,2.4,3.2,3.5,2.6,3.3,3.5,2.5,4.1,5.5,3.6,4.7,4.5,2.7,4.8,4.8,F,4.8,5.6,4.5,5,5.1,3.9,4.7,5,3.9,3.6,3.8,3.4,2.8,3.6,3.2,2.5,2.9,2.7,1.9,2.9,2.3,2.2,2.9,2.6,2.2,2,2.7,2,2.1,2.8,2,2,2.6,2
Real estate and rental and leasing  [53],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"7,715","7,070","7,120","9,250","6,480","8,115","9,010","8,765","8,225","8,580","8,120","6,780","6,555","8,475","7,400",..,..,..,..,..,..,"5,765","4,780","7,130","5,615","6,910","7,565","8,215","6,570","11,170","8,625","9,355","9,890","11,485","8,690","11,335","11,655","9,075","13,085","15,275","12,570","13,290","12,395","10,865","14,685","12,465","8,940","9,065","11,250","10,645","9,750","14,060","11,045","9,745","10,410","9,700","9,105","8,390","6,605","6,680","7,960","6,750","7,705","8,790","7,720","6,920","9,365","7,935","7,700","8,055","5,565","5,800"
,Payroll employees 6 7,"302,920","293,030","291,220","293,105","291,645","298,355","307,335","302,690","300,355","299,970","295,165","295,485","300,540","288,295","282,825",..,..,..,..,..,..,"252,950","253,065","251,925","260,230","247,035","249,515","250,790","251,015","252,525","264,455","265,825","265,110","271,910","270,425","272,125","286,155","272,590","271,015","272,890","272,660","279,525","291,255","287,885","290,520","294,325","288,005","290,855","295,630","285,065","284,350","283,560","282,445","289,680","299,330","296,560","295,870","296,115","291,765","290,540","296,720","287,735","287,420","284,460","286,025","292,370","299,420","300,085","298,235","298,395","295,805","294,620"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.5,2.4,2.4,3.1,2.2,2.6,2.8,2.8,2.7,2.8,2.7,2.2,2.1,2.9,2.5,..,..,..,..,..,..,2.2,1.9,2.8,2.1,2.7,2.9,3.2,2.6,4.2,3.2,3.4,3.6,4.1,3.1,4,3.9,3.2,4.6,5.3,4.4,4.5,4.1,3.6,4.8,4.1,3,3,3.7,3.6,3.3,4.7,3.8,3.3,3.4,3.2,3,2.8,2.2,2.2,2.6,2.3,2.6,3,2.6,2.3,3,2.6,2.5,2.6,1.8,1.9
"Professional, scientific and technical services  [54]",,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"42,545","44,455","38,845","38,970","41,750","38,930","36,300","38,685","34,675","39,470","36,240","30,430","45,745","41,660","39,380",..,..,..,..,..,..,"39,540","37,055","36,465","46,290","50,000","47,075","53,785","48,660","52,720","56,625","61,925","64,250","67,210","65,300","63,720","71,960","67,060","69,050","77,115","71,445","72,450","67,105","62,745","62,680","66,410","51,930","53,005","53,845","51,725","50,990","47,750","49,265","46,890","41,280","42,300","40,450","47,050","41,735","32,895","48,360","43,930","41,415","43,385","39,435","35,290","36,695","39,795","39,090","41,100","38,030","30,805"
